word,uses,positives,negatives,pos fraction,neg fraction,rel positivity,rel negativity
cold,27,4,13,0.14814814814814814,0.48148148148148145,0.9178539521324116,0.7680201447906829
air,99,13,67,0.13131313131313133,0.6767676767676768,0.8135523666628195,1.0795248189015894
ewr,57,7,44,0.12280701754385964,0.7719298245614035,0.7608526182150254,1.231319746304091
middle,33,1,22,0.030303030303030304,0.6666666666666666,0.18774285384526604,1.063412508171715
red,13,1,7,0.07692307692307693,0.5384615384615384,0.47657801360721375,0.8589101027540774
noob,1,0,0,0.0,0.0,0.0,0.0
bked,1,0,1,0.0,1.0,0.0,1.5951187622575724
cool,29,13,13,0.4482758620689655,0.4482758620689655,2.777299458607556,0.7150532382533945
birthday,25,7,10,0.28,0.4,1.7347439695302582,0.638047504903029
add,80,6,39,0.075,0.4875,0.4646635632670334,0.7776203966005666
elevate,7,1,3,0.14285714285714285,0.42857142857142855,0.8850734538419683,0.6836223266818167
entered,4,0,3,0.0,0.75,0.0,1.1963390716931792
name,70,9,37,0.12857142857142856,0.5285714285714286,0.7965661084577714,0.843134202907574
booking,149,15,98,0.10067114093959731,0.6577181208053692,0.6237094808953468,1.049138514773437
problems,150,13,105,0.08666666666666667,0.7,0.5369445619974609,1.1165831335803007
hours,495,6,480,0.012121212121212121,0.9696969696969697,0.07509714153810641,1.546781830067949
operation,4,0,2,0.0,0.5,0.0,0.7975593811287862
club,34,7,17,0.20588235294117646,0.5,1.2755470364193073,0.7975593811287862
posted,10,0,5,0.0,0.5,0.0,0.7975593811287862
online,121,1,99,0.008264462809917356,0.8181818181818182,0.05120259650325437,1.305097169119832
left,159,14,103,0.0880503144654088,0.6477987421383647,0.5455169715503956,1.0333159277517607
expensive,14,1,12,0.07142857142857142,0.8571428571428571,0.44253672692098417,1.3672446533636333
headphones,2,0,1,0.0,0.5,0.0,0.7975593811287862
iad,39,2,22,0.05128205128205128,0.5641025641025641,0.3177186757381425,0.8998105838376049
one,509,39,400,0.07662082514734773,0.7858546168958742,0.47470540844569226,1.2535314438173457
answering,29,1,26,0.034482758620689655,0.896551724137931,0.21363841989288893,1.430106476506789
number,186,10,117,0.053763440860215055,0.6290322580645161,0.33309216004805264,1.0033811569039568
awaiting,6,1,3,0.16666666666666666,0.5,1.032585696148963,0.7975593811287862
return,65,7,44,0.1076923076923077,0.676923076923077,0.6672092190500993,1.079772700605126
phone,326,20,277,0.06134969325153374,0.8496932515337423,0.3800928942879619,1.3553616476851151
prefer,7,2,5,0.2857142857142857,0.7142857142857143,1.7701469076839367,1.1393705444696947
use,144,14,92,0.09722222222222222,0.6388888888888888,0.6023416560868952,1.0191036536645601
option,49,1,43,0.02040816326530612,0.8775510204081632,0.1264390648345669,1.399798097491339
america,13,2,5,0.15384615384615385,0.38461538461538464,0.9531560272144275,0.6135072162529125
could,241,24,158,0.0995850622406639,0.6556016597510373,0.6169806649188825,1.0457625080360848
start,68,11,29,0.16176470588235295,0.4264705882352941,1.0022155286151702,0.6802712368451411
flights,510,47,327,0.09215686274509804,0.6411764705882353,0.570959149635309,1.0227526181533848
hawaii,9,1,2,0.1111111111111111,0.2222222222222222,0.6883904640993087,0.3544708360572383
end,38,7,25,0.18421052631578946,0.6578947368421053,1.141278927322538,1.0494202383273503
year,64,14,34,0.21875,0.53125,1.355268726195514,0.8474068424493354
via,107,10,56,0.09345794392523364,0.5233644859813084,0.5790200165321289,0.8348285110880752
nice,108,37,56,0.3425925925925926,0.5185185185185185,2.122537264306202,0.8270986174668894
rt,88,12,24,0.13636363636363635,0.2727272727272727,0.844842842303697,0.4350323897066106
vibe,1,0,0,0.0,0.0,0.0,0.0
moodlight,1,0,0,0.0,0.0,0.0,0.0
takeoff,12,0,10,0.0,0.8333333333333334,0.0,1.3292656352146437
moodlighting,1,1,0,1.0,0.0,6.195514176893779,0.0
way,288,31,181,0.1076388888888889,0.6284722222222222,0.6668782620962054,1.0024878332243772
best,153,81,51,0.5294117647058824,0.3333333333333333,3.2799780936496474,0.5317062540858575
experience,157,30,124,0.1910828025477707,0.7898089171974523,1.183856212145308,1.2598390224199936
done,85,15,51,0.17647058823529413,0.6,1.0933260312165494,0.9570712573545435
airline,287,52,213,0.18118466898954705,0.7421602787456446,1.1225321853605454,1.1838337852294876
hands,8,3,4,0.375,0.5,2.323317816335167,0.7975593811287862
book,168,11,117,0.06547619047619048,0.6964285714285714,0.40565866634423553,1.1108862808579523
chat,7,0,4,0.0,0.5714285714285714,0.0,0.9114964355757557
support,27,4,18,0.14814814814814814,0.6666666666666666,0.9178539521324116,1.063412508171715
not,1479,71,1273,0.048005409060175794,0.8607167004732927,0.2974181923999042,1.3729453579133803
working,91,19,69,0.2087912087912088,0.7582417582417582,1.2935688940767232,1.2094856548985988
view,16,7,5,0.4375,0.3125,2.710537452391028,0.49847461320549136
